1,Arts & Entertainment,Aquarium,,Local Business or Place,Airport,332; 335-346
2,,Arcade,,,Arts/Entertainment/Nightlife,38; 261
3,,Art Gallery,,,Attractions/Things to Do,
4,,Bowling Alley,,,Automotive,187; 357; 370-371
5,,Casino,,,Bank/Financial Services,
6,,Comedy Club,,,Bar,7; 15; 122; 200-218
7,,General Entertainment,,,Book Store,266
8,,Historic Site,,,Business Services,
9,,Movie Theater,Indie Movie Theater,,Church/Religious Organization,
10,,,Multiple,,Club,5; 6; 7; 20; 34; 164; 200-218
11,,Museum,Art Museum,,Community/Government,
12,,,History Museum,,Concert Venue,15; 19; 161
13,,,Planetarium,,Education,
14,,,Science Museum,,Event Planning/Event Services,
15,,Music Venue,Concert Hall,,Food/Grocery,
16,,,Jazz Club,,Health/Medical/Pharmacy,325
17,,,Piano Bar,,Home Imporvement,
18,,,Rock Club,,Hospital/Clinic,175-181
19,,Performing Arts Venue,Concert Hall,,Hotel,5; 7; 347-354
20,,,Dance Studio,,Landmark,
21,,,Indie Theater,,Library,
22,,,Opera House,,Local Business,325
23,,,Theater,,Movie Theatre,9; 10
24,,Pool Hall,,,Museum/Art Gallery,3;11;12;13;14
25,,Racetrack,,,Outdoor Gear/Sporting Goods,
26,,Stadium,Baseball Stadium,,Pet Services,37; 160; 319
27,,,Basketball Stadium,,Professional Services,
28,,,Cricket Ground,,Public Places,87; 139; 140; 143; 144; 151
29,,,Football Stadium,,Real Estate,
30,,,Hockey Arena,,Restaurant/Cafe,74-159
31,,,Soccer Stadium,,School,38-73; 194-199
32,,,Tennis,,Shopping/Retail,2; 279-287; 301; 308; 312; 318; 319; 321; 323; 324; 326
33,,,Track Stadium,,Spas/Beauty/Personel Care,
34,,Strip Club,,,Sports Venue,4; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33
35,,Theme Park,,,Sports/Recreation/Activities,26; 27; 28; 29; 30; 31; 32; 33
36,,Water Park,,,Tour/Sightseeing,
37,,Zoo,,,Transit Stop,
38,College & University,College Academic Building,College Arts Building,,Transportation,
39,,,College Communications Building,,University,38-73
40,,,College Engineering Building,Company; Organization or Institution,Aerospace/Defense,
41,,,College History Building,,Automobiles and Parts,262; 270; 271
42,,,College Math Building,,Bank/Financial Institution,263
43,,,College Science Building,,Biotechnology,
44,,,College Technology Building,,Cause,
45,,College Administrative Building,,,Chemicals,
46,,College Auditorium,,,Church/Religious Organization,
47,,College Bookstore,,,Community Organizaton,65
48,,College Cafeteria,,,Company,
49,,College Classroom,,,Comuters/Technology,44
50,,College Gym,,,Consulting/Business Services,
51,,College Lab,,,Education,38-73
52,,College Library,,,Energy/Utility,
53,,College Quad,,,Engineering/Construction,40
54,,College Rec Center,,,Farming/Agriculture,
55,,College Residence Hall,,,Food/Beverages,297-298
56,,College Stadium,College Baseball Diamond,,Government Organization,
57,,,College Basketball Court,,Health/Beauty,
58,,,College Cricket Pitch,,Health/Medical/Pharmaceuticals,
59,,,College Football Field,,Industrials,
60,,,College Hockey Rink,,Insurance Company,
61,,,College Soccer Field,,Internet/Software,
62,,,College Tennis Court,,Legal/Law,
63,,,College Track,,Media/News/Publishing,
64,,College Theater,,,Mining/Materials,
65,,Community College,,,Non-Governmental Organization (NGO),1
66,,Fraternity House (Dernek),,,Non-Profis Organization,
67,,General College & University,,,Organization,4; 7
68,,Law School,,,Political Organization,
69,,Medical School,,,Political Party,7;
70,,Sorority House,,,Retail and Consumer Merchandise,
71,,Student Center,,,School,38-73; 194-199
72,,Trade School,,,Small Business,
73,,University,,,Telecommunication,
74,Food,African Restaurant,,,Transport/Freight,
75,,American Restaurant,,,Travel/Leisure,332; 335-346; 355-365
